areaSqm,longitude,latitude,propertyType,rent
32,4.918996,52.338776,Studio,750
16,6.785606,52.266346,Room,325
14,6.579414,53.199448,Room,360
14,6.584477,53.231391,Room,490
85,4.284667,52.063122,Apartment,1100
9,5.04721,51.574496,Apartment,295
13,4.896888,52.37321,Room,680
15,4.3397,51.984168,Room,399
20,5.136199,52.065311,Room,335
25,4.416392,52.143717,Room,600
28,4.416392,52.143717,Room,600
14,4.311786,52.074465,Room,325
21,6.90459,52.222373,Room,370
20,6.820686,52.259028,Room,370
11,4.489886,52.170124,Room,350
75,6.149541,51.365964,Apartment,650
16,4.837313,52.35898,Room,600
11,4.848398,52.373103,Room,695
35,5.885758,51.83641,Studio,775
18,5.387739,52.155383,Room,396
44,4.373893,52.006603,Apartment,550
14,6.914082,52.227538,Room,290
10,5.182113,52.111625,Room,365
20,5.666983,51.967353,Room,330
19,4.997388,52.354635,Room,600
13,4.885704,52.325979,Room,700
55,4.4585,51.935073,Apartment,600
11,5.337394,51.700128,Room,286
10,4.490542,51.922096,Room,630
11,6.877244,52.216725,Room,210
11,6.877244,52.216725,Room,220
24,4.355249,51.999014,Room,480
14,5.073182,51.551899,Room,345
15,6.565429,53.217152,Room,460
28,4.864932,52.370889,Apartment,900
12,4.457616,51.907413,Room,560
17,4.443283,51.915548,Room,550
20,4.411003,51.828517,Room,250
14,4.351728,52.001908,Room,325
11,5.95262,51.984818,Room,295
20,4.29099,52.080975,Room,430
16,6.879235,52.23842,Room,500
8,4.511664,51.892038,Room,350
40,6.094464,52.505066,Room,575
20,6.099552,52.505612,Room,425
10,4.507042,51.927062,Room,502
14,5.80282,53.198511,Room,279
17,5.09191,51.565594,Room,260
17,5.80351,53.198379,Room,295
15,4.485109,51.939275,Room,545
15,6.90022,52.227044,Room,265
14,6.555133,53.21551,Room,355
11,4.459182,51.914527,Room,450
18,4.51798,51.92605,Room,463
12,4.356439,51.996499,Room,315
35,5.09314,52.018743,Room,470
9,4.513695,51.890203,Room,330
39,6.777372,52.258949,Studio,595
